Vivado Simulator 2018.3
Time resolution is 1 ps
=== 测试1：按键功能测试 ===
1.1 key1按下，再按key2，PWM波形不受影响
PWM周期 0: 高电平=0个时钟周期, 低电平=143个时钟周期
PWM周期 1: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 2: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 3: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 4: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 5: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 6: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 7: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 8: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 9: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 10: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 11: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 12: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 13: 高电平=124个时钟周期, 低电平=125个时钟周期
1.2 按下key2，随后按下key1，波形也不受影响
PWM周期 14: 高电平=124个时钟周期, 低电平=1042个时钟周期
PWM周期 15: 高电平=149个时钟周期, 低电平=50个时钟周期
PWM周期 16: 高电平=49个时钟周期, 低电平=250个时钟周期
PWM周期 17: 高电平=149个时钟周期, 低电平=50个时钟周期
PWM周期 18: 高电平=49个时钟周期, 低电平=750个时钟周期
PWM周期 19: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 20: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 21: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 22: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 23: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 24: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 25: 高电平=124个时钟周期, 低电平=125个时钟周期
=== 测试2：连续脉冲测试（10个周期） ===
PWM周期 26: 高电平=124个时钟周期, 低电平=1125个时钟周期
PWM周期 27: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 28: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 29: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 30: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 31: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 32: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 33: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 34: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 35: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 36: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 37: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 38: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 39: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 40: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 41: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 42: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 43: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 44: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 45: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 46: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 47: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 48: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 49: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 50: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 51: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 52: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 53: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 54: 高电平=124个时钟周期, 低电平=125个时钟周期
PWM周期 55: 高电平=124个时钟周期, 低电平=125个时钟周期
